epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.56046,1.66388,3.29005,1.84743,0.00714,0.8,0.04572,0.02089,1.498,3.90387,2.09507,0.00015453,0.00015453,0.00015453
2,7.57459,1.49809,2.54838,1.57682,0.01633,0.22222,0.03845,0.01968,1.53699,3.96394,2.15956,0.000315,0.000315,0.000315
3,10.6117,1.43049,2.1201,1.48023,0.04498,0.16667,0.06409,0.03338,1.3898,4.53622,2.08689,0.000472231,0.000472231,0.000472231
4,13.5815,1.35626,2.00523,1.46716,0.03224,0.17778,0.06793,0.03905,1.48936,4.80542,2.23466,0.000626222,0.000626222,0.000626222
5,16.6992,1.26965,1.94687,1.4359,0.08456,0.39241,0.10575,0.05952,1.44491,4.4188,2.08911,0.000776973,0.000776973,0.000776973
6,19.6512,1.27029,1.77514,1.37949,0.06706,0.31111,0.09369,0.04788,1.19951,3.68982,1.7739,0.000864004,0.000864004,0.000864004
7,22.5852,1.28985,1.7459,1.38566,0.22595,0.2,0.06611,0.03475,1.22277,3.66054,1.84315,0.000855005,0.000855005,0.000855005
8,25.5318,1.27856,1.79383,1.43461,0.02559,0.16667,0.07511,0.04082,1.1948,6.17173,1.80928,0.000846006,0.000846006,0.000846006
9,28.4555,1.20639,1.67051,1.33833,0.06404,0.34444,0.07931,0.04082,1.22304,4.50944,1.82537,0.000837007,0.000837007,0.000837007
10,31.4085,1.20473,1.55389,1.31848,0.28973,0.17778,0.13279,0.06942,1.37957,3.8255,2.00685,0.000828008,0.000828008,0.000828008
11,34.3837,1.21314,1.58447,1.33167,0.06144,0.15556,0.10467,0.05603,1.31141,4.00158,1.89511,0.000819009,0.000819009,0.000819009
12,37.3895,1.22071,1.53437,1.32853,0.27491,0.21385,0.11821,0.06122,1.21852,3.89134,1.84899,0.00081001,0.00081001,0.00081001
13,40.3137,1.18796,1.5959,1.35525,0.22519,0.1,0.09685,0.05928,1.12852,3.82986,1.73803,0.000801011,0.000801011,0.000801011
14,43.2362,1.15111,1.51637,1.31557,0.1033,0.37297,0.09504,0.06148,1.11765,3.94101,1.75028,0.000792012,0.000792012,0.000792012
15,46.1642,1.08822,1.41467,1.26746,0.01755,0.86667,0.07621,0.04528,1.20899,4.00303,1.90569,0.000783013,0.000783013,0.000783013
16,49.0755,1.14851,1.3811,1.3243,0.02526,0.9,0.1154,0.06242,1.16599,3.66652,1.88361,0.000774013,0.000774013,0.000774013
17,51.9822,1.16952,1.41143,1.29032,0.02805,0.9,0.10644,0.06336,1.27329,3.8581,1.92024,0.000765014,0.000765014,0.000765014
18,54.914,1.12553,1.26049,1.25262,0.06543,0.12222,0.0671,0.04399,1.40349,4.28016,1.99829,0.000756015,0.000756015,0.000756015
19,57.8549,1.08176,1.24985,1.22811,0.02899,0.1,0.06963,0.0428,1.19269,4.00552,1.78964,0.000747016,0.000747016,0.000747016
20,60.7544,1.12031,1.26902,1.279,0.01932,0.85,0.07862,0.05275,1.14671,3.96927,1.86932,0.000738017,0.000738017,0.000738017
21,63.731,1.17548,1.27602,1.31319,0.04038,0.1,0.0745,0.05175,1.10926,3.73972,1.80372,0.000729018,0.000729018,0.000729018
22,66.6775,1.10437,1.2162,1.23553,0.0507,0.1,0.05969,0.04277,1.16965,3.86212,1.76983,0.000720019,0.000720019,0.000720019
23,69.592,1.06435,1.23075,1.26677,0.04616,0.1,0.05577,0.03965,1.14517,3.76252,1.76904,0.00071102,0.00071102,0.00071102
24,72.5081,1.05701,1.262,1.28946,0.24193,0.1,0.08502,0.05492,1.23416,3.66969,2.03459,0.000702021,0.000702021,0.000702021
25,75.4446,1.08326,1.28531,1.27747,0.27875,0.17778,0.10031,0.06549,1.35848,3.49227,2.25404,0.000693022,0.000693022,0.000693022
26,78.381,1.00949,1.14123,1.2307,0.2436,0.12299,0.06714,0.04852,1.14169,3.48629,1.8781,0.000684022,0.000684022,0.000684022
27,81.3248,1.06277,1.13308,1.22928,0.02114,0.8,0.06553,0.04793,1.19695,3.70875,1.86643,0.000675023,0.000675023,0.000675023
28,84.253,0.99219,1.16467,1.23134,0.24406,0.13333,0.07076,0.05022,1.19211,3.95021,1.93555,0.000666024,0.000666024,0.000666024
29,87.2503,1.02612,1.06326,1.21601,0.02854,0.7,0.08182,0.05598,1.24027,3.91612,2.0307,0.000657025,0.000657025,0.000657025
30,90.2081,0.97785,1.08692,1.22467,0.0333,0.67778,0.0596,0.03814,1.2716,5.05622,1.93209,0.000648026,0.000648026,0.000648026
31,93.1636,0.98929,0.97796,1.22251,0.02407,0.43333,0.04458,0.02933,1.09853,5.67576,1.74117,0.000639027,0.000639027,0.000639027
32,96.1275,1.0208,1.06083,1.22491,0.03889,0.47222,0.05786,0.03906,1.06227,4.85749,1.72271,0.000630028,0.000630028,0.000630028
33,99.0713,1.00978,1.05156,1.17676,0.04402,0.5,0.06797,0.04804,1.10596,4.27287,1.71558,0.000621029,0.000621029,0.000621029
34,102.041,0.98717,0.92143,1.1702,0.03269,0.64444,0.05886,0.043,1.08974,4.21906,1.74068,0.00061203,0.00061203,0.00061203
35,104.982,0.98524,1.00431,1.18968,0.02146,0.67778,0.04542,0.03109,1.19775,4.3584,1.89457,0.000603031,0.000603031,0.000603031
36,107.964,1.03317,0.99221,1.21486,0.24142,0.09962,0.04067,0.02636,1.3724,4.47251,2.08176,0.000594031,0.000594031,0.000594031
37,110.881,0.94276,0.99845,1.19191,0.05244,0.11111,0.05221,0.03649,1.20449,4.24486,1.89322,0.000585032,0.000585032,0.000585032
38,113.831,0.96013,0.94705,1.16174,0.24461,0.06667,0.06126,0.03856,1.16898,4.2152,1.88456,0.000576033,0.000576033,0.000576033
39,116.745,0.94374,0.94068,1.17221,0.02446,0.65556,0.05187,0.03343,1.15393,4.24156,1.87368,0.000567034,0.000567034,0.000567034
40,119.658,0.93045,0.90324,1.14664,0.02172,0.62222,0.03821,0.02584,1.18769,4.26862,1.96143,0.000558035,0.000558035,0.000558035
41,122.564,0.89826,0.8466,1.15484,0.2387,0.06667,0.04735,0.03158,1.20134,4.38051,1.98127,0.000549036,0.000549036,0.000549036
42,125.502,0.90606,0.86132,1.14673,0.23933,0.06555,0.05648,0.03589,1.06119,4.24087,1.81567,0.000540037,0.000540037,0.000540037
43,128.448,0.86356,0.87109,1.15144,0.02778,0.61111,0.05152,0.03015,1.05321,4.18029,1.70154,0.000531038,0.000531038,0.000531038
44,131.377,0.86159,0.85909,1.11315,0.028,0.68889,0.05411,0.03009,1.06144,4.12917,1.69733,0.000522039,0.000522039,0.000522039
45,134.303,0.91819,0.8649,1.12242,0.0249,0.56667,0.04699,0.02787,1.01215,4.17407,1.64989,0.00051304,0.00051304,0.00051304
46,137.303,0.85575,0.90734,1.1282,0.02213,0.44444,0.05481,0.03987,0.9624,4.12094,1.61415,0.00050404,0.00050404,0.00050404
47,140.219,0.81378,0.7653,1.09472,0.02335,0.54444,0.0774,0.05351,0.99672,3.99714,1.63087,0.000495041,0.000495041,0.000495041
48,143.166,0.83309,0.83513,1.12088,0.0213,0.54444,0.05458,0.03562,1.04971,4.15771,1.69436,0.000486042,0.000486042,0.000486042
49,146.131,0.86059,0.79859,1.11164,0.02105,0.43333,0.04037,0.02482,1.04373,4.3181,1.67685,0.000477043,0.000477043,0.000477043
50,149.062,0.86574,0.80262,1.07778,0.02609,0.42222,0.04397,0.0295,1.1773,4.78321,1.82033,0.000468044,0.000468044,0.000468044
51,152.012,0.85866,0.80934,1.10012,0.03093,0.45556,0.05398,0.03521,1.29367,4.81804,2.00413,0.000459045,0.000459045,0.000459045
52,154.982,0.88627,0.84938,1.11349,0.03248,0.52222,0.06503,0.04412,1.35554,4.70381,2.06947,0.000450046,0.000450046,0.000450046
53,157.968,0.79838,0.83968,1.11794,0.0341,0.47778,0.04531,0.03012,1.26127,4.58019,1.95508,0.000441047,0.000441047,0.000441047
54,160.939,0.8913,0.82152,1.12773,0.04181,0.40556,0.0564,0.036,1.17479,4.51687,1.84531,0.000432048,0.000432048,0.000432048
55,164,0.85851,0.79974,1.10615,0.03462,0.49444,0.05759,0.03557,1.16946,4.39887,1.83199,0.000423049,0.000423049,0.000423049
56,166.929,0.82147,0.75136,1.09503,0.04382,0.61667,0.07796,0.04767,1.08578,4.32714,1.74746,0.000414049,0.000414049,0.000414049
57,169.864,0.78437,0.74951,1.09577,0.04202,0.51667,0.07474,0.05002,1.10009,4.16642,1.76783,0.00040505,0.00040505,0.00040505
58,172.788,0.82046,0.73987,1.09341,0.03355,0.50556,0.05963,0.03745,1.115,4.28311,1.75969,0.000396051,0.000396051,0.000396051
59,175.72,0.78301,0.7619,1.08352,0.0309,0.48333,0.06221,0.03776,1.12101,4.34813,1.75824,0.000387052,0.000387052,0.000387052
60,178.624,0.80179,0.74301,1.1015,0.03405,0.50556,0.05691,0.03449,1.11409,4.3828,1.7434,0.000378053,0.000378053,0.000378053
61,181.54,0.83663,0.80484,1.10101,0.03666,0.50556,0.04978,0.0321,1.06793,4.62962,1.70421,0.000369054,0.000369054,0.000369054
62,184.466,0.79221,0.73339,1.08046,0.03402,0.48889,0.03697,0.02491,1.03891,4.75632,1.65884,0.000360055,0.000360055,0.000360055
63,187.456,0.7333,0.72879,1.05627,0.03168,0.43333,0.03574,0.02591,1.00647,4.73159,1.65507,0.000351056,0.000351056,0.000351056
64,190.376,0.78825,0.723,1.10088,0.02586,0.43333,0.03071,0.02254,0.99831,4.80388,1.66113,0.000342057,0.000342057,0.000342057
65,193.278,0.75096,0.70452,1.05246,0.02907,0.46667,0.04498,0.03237,0.99714,4.8129,1.65203,0.000333058,0.000333058,0.000333058
66,196.221,0.77635,0.71377,1.06436,0.04523,0.58333,0.06294,0.04029,1.05452,4.88083,1.76351,0.000324058,0.000324058,0.000324058
67,199.133,0.7446,0.68687,1.06495,0.05234,0.52778,0.07752,0.04604,1.14255,4.59624,1.87724,0.000315059,0.000315059,0.000315059
